0100000012	Англунимо
2c1b150162	Мануша бут вряма нисо на хале. Тунчи Павло вщиля машкар лэн тай пхэнда: — Тумэнди трэбуни сля тэ кандэ ман тай тэ на выладэ Критостар. Тунчи б тумэ на прылиле кадыя грыжа и на хацардэ б амарэ бужэ.
2c1b1600b2	Нэ кана пхэнав тумэнди, соб тумэ тэ лошавэн. Нико тумэндар на хасявэла, кицик корабли розмарэлапэ.
2c1b170090	Кодэла рятяґа мандэ авиля ангело Дэвлэстар, Кахкоро мэ исин и Касти терав бути.
2c1b1800d8	Вов пхэнда манди: «Павло, на дара! Тути трэбуни тэ аче англа императоро. Акэ, Дэвэл отдэня тути всавэрэн, ко ладэл туґа».
2c1b19007c	Колэсти лошавэн! Мэ патяв Дэвлэсти. Вса авэла кади, сар манди пхэндо.
2c1b1a0041	Корабли вычувэла пэ савось острово.
2c1b1b00e6	Пэ дэшуштарто диво, кала амэн инте чувэлас пав Адриатическо море, дэ епашрят бутярнэ кораблестар полиле, со амэ поджях пхуятэ.
2c1b1c0118	Вонэ продыкхле панехкоро лунгимо тай выджиля, со лунгимо сля пашэ трянда шов метруря. Ай кала подыкхле инте екх моло, лунгимо сля пашэ бишта эфта метруря.
2c1b1d00ed	Бутярнэ даранас, со амэн розмарэла пав барэн, и змукле палал кораблестар штар якоря, тай еджинэ манглепэ, соб сигэдэр тэ авэл диво.
2c1b1e0100	Вонэ камле тэ нашэ кораблестар тай ачиле тэ змукэ лодка, соб тэ фирисарэпэ, ай сикавэнас, со камэн тэ змукэ якори кади ж и англал кораблестар.
2c1b1f00c9	Павло пхэнда шэлякэрэ пхурэдэрэсти тай халавдэнди: — Кала кадэла мануша на аченапэ пэ корабли, тумэ хасявэна.
2c1b200088	Тунчи халавдэ пэрэчиндэ доря, савэ рицарэнас лодка, и вой тэлэдэня дэ море.
2c1b2100e6	Дэнзор Павло мангля манушэн, соб вонэ тэ хан. — Дуй куркэ, сар тумэ бэшэн дэ грыжа, аченпэ бокхалэ и нисо на хан, — пхэнда вов. —
2c1b2200ce	Мэ мангав тумэн тэ хан, тай када дэла зор тумэнди тэ фирисарэпэ. Никастэ тумэндар ни екх бал на тэлэдэла шэрэстар.
2c1b23009e	Кала Павло пхэнда, вов лиля мандро, наисарда Дэвлэ англа всавэрэн, пхагля и ачиля тэ ха.
2c1b240036	Мануша лошыле, и всавэрэ хале.
2c1b250063	Всавэрэн сля пэ корабли дуй шэла эфтадэша шов манушэн.
2c1b260092	Кала мануша чялиле, вонэ ачиле тэ терэ корабли локхэґа тай тэ чувэ ворзо дэ море.
2c1b2700cd	Дэнзор вонэ на уджянгле пхув, сави сикавдапэ, нэ удыкхле кацик тишаехкоро берего, тев и камле тэ выцырдэ корабли.
2c1b2800f5	Бутярнэ обчиндэ якоря тай ачявдэ лэн дэ море, тунчи розпхангле кораблехкири рули, подлиле цыкно парусо тай бичялдэ корабли берегостэ.
2c1b2900b9	Нэ котэ сля набут пани тай корабли заджиля дэ тишай. Епаш корабли сля пэ тишай, а епаш розмарэлас пани.
2c1b2a00a1	Халавдэ ж камле тэ умарэ всавэрэн барунарен, соб вонэ тэ на нашэн, кала выджяна панестар.
2c1b2b0168	Нэ пханглякоро пхурэдэр камля тэ фирисарэ Павло тай на домукля лэн тэ терэ кади. Вов прыпхэнда манушэнди, савэ джянэнас, сар пэ тэ лиджя дэ пани, тэ хукэ дэ море англал всавэрэндар и тэ авэ пэ берего.
2c1b2c0109	Ай савэ ачилепэ, лэнди трэбуни сля тэ доджя берегостэ пэ сандя кораблестар тай пэ котора сандендар. Кади всавэрэ фирисардэпэ тай выджиле пэ пхув.
2c1c010086	Кала амэ фирисардэпэ, тунчи уджянгле, со кодэва острово акхарэлпэ Мальта.
2c1c0200ef	Мануша, савэ котэ джювдэ, тердэ важ амэн бари патив. Вонэ тховдэ яг тай акхардэ амэн пэстэ, колэсти со сля шылало тай джялас брышынд.
2c1c0300e6	Кала Павло стидэня кашта и ачиля тэ чувэ дэ яг, лэсти дэ вастэ вхаляпэ сап, саво выґульда каштэндар, кала фирисарэласпэ ягатар.
2c1c040174	Кала катутнэ мануша удыкхле, со Павлостэ пэ вастэ амгладёл сап, вонэ ачиле тэ дэдумэ екх аврэсти: — Душол, со кадэва умарэлас манушэн. Вов фирисардапэ панестар, нэ чячимахкири дэвли отлэл лэхкоро джювимо.
2c1c050078	Нэ Павло счута сапэ дэ яг, и вов на терда лэсти нисаво бибахталимо.
2c1c06015e	Мануша жэ дожутярэнас, со вов ачела тэ шулёл чи сиго мэрэла. Вонэ дожутярдэ бут вряма и кала удыкхле, со лэґа нисо на терэлпэ, тунчи парувдэ пэхкири дума тай ачиле тэ пхэнэ, со када савось дэвэл.
2c1c0700ed	Надур ачелас грэда, тев джювда пхурэдэр пав острово, савэ акхарэнас Публии. Вов пативалэ прылиля амэн, тай амэ сле лэстэ трин дивэ.
2c1c080122	Лэхкоро дад сля насвало тай пашлёлас пэ пато. Лэстэ сля пхабаримо тай фартэ дукхалас води. Павло авиля лэстэ, помангляпэ, тховда пэ лэстэ васта тай састярда лэ.
