0100000008	Genesisi
42020a00e0	Usatya izvo zvava kuda kuzokutambudza. Ndinoti kwauri, dhiabhori achaisa vamwe venyu mutorongo kuti akuedzei, uye muchatambudzwa kwamazuva gumi. Ivai vakatendeka, kunyange kusvika pakufa, uye ini ndichakupai korona youpenyu.
42020b0061	Ane nzeve dzokunzwa, ngaanzwe zvinoreva Mweya kukereke. Anokunda haazokuvadzwi norufu rwechipiri.
42020c0072	“Kumutumwa wekereke iri muPegamo nyora kuti: Aya ndiwo mashoko aiye ano munondo unopinza, unocheka kumativi ose.
42020d00e7	Ndinoziva paunogara, pachigaro choushe chaSatani. Asi wakaramba wakatendeka kuzita rangu. Hauna kuramba kutenda kwako kwandiri, kunyange mumazuva aAndipasi, chapupu changu chakatendeka, uyo akaurayiwa muguta renyu, munogara Satani.
42020e00f0	Kunyange zvakadaro, ndine zvinhu zvishoma zvandinovenga pauri: Una vanhu ipapo vanobatisisa dzidziso yaBharamu, uyo akadzidzisa Bharaki kuti anyengere vaIsraeri kuti vatadze vachidya zvokudya zvakabayirwa kuzvifananidzo uye nokuita upombwe.
42020f003d	Saizvozvowo, una vamwe vanobatirira kudzidziso yavaNikoraiti.
420210005d	Naizvozvo, tendeuka! Zvikasadaro, ndichakurumidza kuuya kuzovarwisa nomunondo womuromo wangu.
42021100cd	Ane nzeve dzokunzwa, ngaanzwe zvinoreva Mweya kukereke. Kuno uyo anokunda, ndichamupa imwe mana yakavanzika. Ndichamupawo ibwe jena rine zita idzva rakanyorwa pariri, rinongozivikanwa naiye anorigamuchira.
420212009a	“Kumutumwa wekereke iri muTiatira nyora kuti: Aya ndiwo mashoko oMwanakomana waMwari, ane meso anenge murazvo womoto uye ane tsoka dzinopenya sendarira.
420213009a	Ndinoziva mabasa ako, rudo rwako nokutenda kwako, kushumira kwako uye nokutsungirira kwako, uye kuti iye zvino uri kuita zvinopfuura zvawakaita pakutanga.
42021400d2	Kunyange zvakadaro, ndine mhosva iyi newe: Uri kutendera mukadzi uya Jezebheri, anozviti muprofitakadzi. Nokudzidzisa kwake anotsausa varanda vangu kuti vaite upombwe uye kuti vadye zvakabayirwa kuzvifananidzo.
4202150043	Ndakamupa nguva yokutendeuka paupombwe hwake, asi haana kutendeuka.
420216008c	Saka ndichamuisa panhoo yokutambudzika, uye ndichaita kuti vaya vaiita upombwe naye vatambudzike zvikuru, kana vakasatendeuka munzira dzavo.
42021700a7	Ndicharova vana vake norufu. Ipapo kereke dzose dzichaziva kuti ndini iye anonzvera mwoyo nendangariro, uye ndichatsiva mumwe nomumwe wenyu zvinoenderana namabasa ake.
42021800b6	Zvino ndinoti kwamuri mose imi muri paTiatira, kunemi vasingabatiriri padzidziso yake uye vasina kudzidza zvinonzi zvakavanzika zvaSatani (handichazoisi mimwe mitoro pamusoro penyu):
4202190031	Batisisai chete icho chamunacho kusvikira ndauya.
42021a0061	Kuno uya anokunda uye achiita kuda kwangu kusvikira pakuguma, ndichamupa simba pamusoro pendudzi:
42021b0080	‘Achavatonga netsvimbo yesimbi; achavaputsa-putsa sezvaenga zvehari’, sokugamuchira kwandakaita simba kubva kuna Baba vangu.
42021c0023	Ndichamupawo nyeredzi yamangwanani.
42021d0037	Ane nzeve dzokunzwa ngaanzwe, zvinoreva Mweya kukereke.
42030100ac	“Kumutumwa wekereke iri muSadhisi nyora kuti: Aya ndiwo mashoko aiye akabata mweya minomwe yaMwari nenyeredzi nomwe. Ndinoziva mabasa ako; unonzi uri mupenyu, asi wakafa.
4203020064	Muka! Simbisa zvakasara zvoda kufa, nokuti handina kuwana mabasa ako akakwana pamberi paMwari wangu.
42030300a9	Naizvozvo, rangarira zvawakagamuchira nezvawakanzwa; uzviteerere, uye utendeuke. Asi kana usingapepuki, ndichauya sembavha, uye haungazivi nguva yandichauya nayo kwauri.
420304007c	Asi una vanhu vashoma muSadhisi vasina kusvibisa nguo dzavo. Vachafamba neni, vakapfeka nguo chena, nokuti ndivo vakafanira.
42030500a4	Anokunda achaita saivo, achashongedzwa nguo chena. Handingazodzimi zita rake kubva mubhuku roupenyu, asi ndichapupura zita rake pamberi paBaba vangu navatumwa vavo.
4203060037	Ane nzeve dzokunzwa, ngaanzwe zvinoreva Mweya kukereke.
42030700c9	“Kumutumwa wekereke iri muFiradherifia nyora kuti: Aya ndiwo mashoko aiye mutsvene wechokwadi, iye akabata kiyi yaDhavhidhi. Chaanozarura hakuna munhu anopfiga, chaanopfiga hakuna munhu anochizarura.
42030800bb	Ndinoziva mabasa ako. Tarira, ndaisa pamberi pako mukova wakazaruka usingagoni kupfigwa nomunhu. Ndinoziva kuti une simba shoma, asi wakachengeta shoko rangu uye hauna kuramba zita rangu.
42030900b7	Ndichaita kuti avo vari vesinagoge raSatani, vanozviti vaJudha kunyange vasiri ivo, asi varevi venhema, ndichaita kuti vauye uye vawire pasi petsoka dzako uye vagoziva kuti ndakakuda.
42030a00a4	Sezvo wakachengeta murayiro wangu kuti utsunge nomwoyo murefu, ndichakuchengetawo panguva yokuedzwa iri kusvika pamusoro penyika yose kuzoedza avo vanogara panyika.
42030b0063	Ndiri kukurumidza kuuya. Batisisa icho chaunacho, kuti kurege kuva nomunhu anokutorera korona yako.
42030c00f0	Uyo anokunda ndichamuita mbiru mutemberi yaMwari wangu. Haazombobudimo. Ndichanyora paari zita raMwari wangu nezita reguta raMwari wangu, Jerusarema idzva, riri kuburuka richibva kudenga kuna Mwari; uye ndichanyorawo paari zita rangu idzva.
42030d0037	Ane nzeve dzokunzwa ngaanzwe, zvinoreva Mweya kukereke.
42030e0092	“Kumutumwa wekereke iri muRaodhikea nyora kuti: Aya ndiwo mashoko aiye Ameni, chapupu chakatendeka uye chechokwadi, mutongi wezvisikwa zvaMwari.
42030f0055	Ndinoziva mabasa ako, kuti hautonhori kana kupisa. Ndaida kuti uve chimwe chaizvozvi!
4203100069	Saka nokuda kwokuti unodziya zvishoma, haupisi kana kutonhora, ndava kuda kukusvipa kubva mumuromo mangu.
420311009d	Unoti, ‘Ndakapfuma; ndakawana pfuma uye handina chandinoshayiwa.’ Asi hauzivi kuti une nhamo, unonzwisa urombo, uri murombo, uri bofu uye hauna kusimira.
42031200d7	Ndinokupa zano kuti utenge kwandiri goridhe rakanatswa nomoto, kuti upfume; uye uve nenguo chena dzokupfeka, kuitira kuti ufukidze nyadzi dzokusasimira kwako; nechizoro chokuisa mumeso ako, kuitira kuti ugone kuona.
4203130048	Avo vandinoda ndinovatsiura uye ndinovaranga. Saka shingaira, utendeuke.
4203140083	Ndiri pano! Ndimire pamusuo ndichigogodza. Kana munhu akanzwa inzwi rangu akazarura musuo, ndichapinda ndigodya naye, uye iye neni.
4203150090	Kuno uyo anokunda, ndichamutendera kuti agare neni pachigaro changu choushe, sezvandakakunda uye ndikagara naBaba vangu pachigaro chavo choushe.
420316003a	Ane nzeve dzokunzwa, ngaanzwe zvinoreva Mweya kukereke.”
42040100fa	Shure kwaizvozvi ndakatarisa, uye ipapo pamberi pangu pakanga pano mukova wakanga wakazaruka kudenga. Uye inzwi randakanzwa richitaura kwandiri rakanga rakaita sehwamanda, rakati, “Kwira kuno, ndigokuratidza zvinofanira kuitika shure kwaizvozvi.”
4204020078	Pakarepo ndakava muMweya, uye ipapo pamberi pangu pakava nechigaro choushe kudenga, nomumwe akanga agere pamusoro pacho.
4204030099	Uye akanga agerepo akanga akaita sedombo rejasipa nekarineri. Muraravungu, wakanga wakafanana nedombo reemaradhi, wakanga wakakomberedza chigaro choushe.
42040400e9	Zvimwe zvigaro zvoushe makumi maviri nezvina zvakanga zvakakomberedza chigaro choushe, uye vakanga vagere pamusoro pazvo vakanga vari vakuru makumi maviri navana. Vakanga vakapfeka nguo chena uye vane korona dzegoridhe mumisoro yavo.
42040500b6	Pachigaro choushe pakabuda kupenya kwemheni, kudengenyeka uye namaungira okutinhira. Pamberi pechigaro choushe, pakanga pane mwenje minomwe yaipfuta. Iyi ndiyo mweya minomwe yaMwari.
42040600d6	Pamberi pechigaro choushe paivawo nezvaitarisika segungwa regirazi, rakachena sedombo rekristaro. Pakati, paipoteredza chigaro choushe, pakanga pane zvisikwa zvina, uye zvakanga zvakafukidzwa nameso, mberi neshure.
42040700bd	Chisikwa chipenyu chokutanga chakanga chakaita seshumba, chechipiri chakanga chakaita senzombe, chechitatu chakanga chine chiso sechomunhu, chechina chakanga chakaita segondo rinobhururuka.
42040800c4	Chimwe nechimwe chezvisikwa zvipenyu zvina chakanga china mapapiro matanhatu uye chakanga chakafukidzwa nameso kumativi ose, kunyange pasi pamapapiro acho. Masikati nousiku hazvina kumborega kuti:
420409007a	Pose paipa zvisikwa zvipenyu mbiri, kukudzwa nokuvonga kuna iye anogara pachigaro choushe, iye anogara nokusingaperi-peri,
42040a00bd	vakuru makumi maviri navana vaiwira pasi pamberi pake iye anogara pachigaro choushe, uye vaimunamata iye anogara nokusingaperi-peri. Vaikanda korona dzavo pamberi pechigaro choushe vachiti:
42040b00a5	“Makafanira, Ishe naMwari wedu, kugamuchira kubwinya nokukudzwa, uye nesimba, nokuti makasika zvinhu zvose, nokuda kwenyu zvakasikwa, uye zviripo nokuda kwenyu.”
42050100a3	Ipapo ndakaona muruoko rworudyi rwaiye akanga agere pachigaro choushe bhuku rakanga rakapetwa, rakanga rakanyorwa kumativi ose uye rakanamwa nezvisimbiso zvinomwe.
420502008a	Uye ndakaona mutumwa ane simba achidanidzira nenzwi guru achiti, “Ndiani akafanira kusunungura chisimbiso nokuzarura bhuku rakapetwa?”
420503007b	Asi hakuna munhu kudenga kana panyika kana pasi penyika aigona kuzarura bhuku rakapetwa kana kunyange kutarira mukati maro.
420504007f	Ndakachema nokuchema kukuru nokuti hakuna munhu akawanikwa akanga akafanira kuzarura bhuku rakapetwa kana kutarira mukati maro.
42050500b4	Ipapo mumwe wavakuru akati kwandiri, “Usachema! Tarira, Shumba yorudzi rwaJudha, Mudzi waDhavhidhi, akakunda. Iye anogona kuzarura bhuku rakapetwa nezvisimbiso zvaro zvinomwe.”
42050600df	Ipapo ndakaona pakati pechigaro choushe nezvisikwa zvipenyu zvina napakati pavakuru, Gwayana rakanga rimire uye rakaita serabayiwa, rine nyanga nomwe nameso manomwe, inova ndiyo mweya minomwe yaMwari yakatumwa munyika yose.
4205070058	Rakauya rikatora bhuku rakapetwa muruoko rworudyi rwaiye akanga agere pachigaro choushe.
42050800f8	Uye rakati raritora, zvisikwa zvipenyu zvina navakuru makumi mana navana vakawira pasi pamberi peGwayana. Mumwe nomumwe akanga ano rudimbwa uye vakanga vakabata ndiro dzegoridhe dzakanga dzizere nezvinonhuhwira, inova ndiyo minyengetero yavatsvene.
42050900e8	Uye vakaimba rwiyo rutsva runoti: “Ndimi makafanira kutora bhuku rakapetwa kuti muzarure zvisimbiso zvaro, nokuti ndimi makaurayiwa, uye neropa renyu makatengera Mwari vanhu kubva kumarudzi ose uye nendimi dzose, navanhu nendudzi.
42050a004f	Makavaita ushe navaprista kuti vashumire Mwari wedu, uye vachatonga panyika.”
42050b00a5	Ipapo ndakatarira uye ndikanzwa inzwi ravatumwa vazhinji, zviuru nezviuru negumi rezviuru zvamazana. Vakakomberedza chigaro choushe nezvisikwa zvipenyu uye navakuru.
42050c00b0	Vakaimba nenzwi guru vachiti: “Gwayana ndiro rakafanira, iro rakanga raurayiwa, kuti rigamuchire simba nepfuma nouchenjeri nesimba nokukudzwa nokubwinya uye nokurumbidzwa!”
42050d010a	Ipapo ndakanzwa zvisikwa zvose kudenga napanyika napasi penyika uye napamusoro pegungwa, nezvose zviri mazviri, zvichiimba zvichiti: “Kuna iye anogara pachigaro choushe uye nokuGwayana ngakuve nokurumbidzwa nokukudzwa nokubwinya uye nesimba, nokusingaperi-peri!”
42050e0052	Zvisikwa zvipenyu zvina zvakati, “Ameni,” uye vakuru vakawira pasi vakanamata.
420601009f	Ndakatarisa Gwayana paraizarura chimwe chezvisimbiso zvinomwe. Ipapo ndakanzwa chimwe chezvisikwa zvipenyu zvina chichiti nenzwi rainge rokutinhira, “Uya!”
42060200a2	Ndakatarira, uye ipapo pamberi pangu pakanga pane bhiza jena! Akanga akaritasva akanga akabata uta, uye akapiwa korona, akakwira akabuda somukundi kuti andokunda.
420603006a	Gwayana rakati razarura chisimbiso chechipiri, ndakanzwa chisikwa chipenyu chechipiri chichiti, “Uya!”
42060400a1	Ipapo rimwe bhiza rakabuda, riri dzvuku kwazvo. Mutasvi waro akapiwa simba rokubvisa rugare panyika nokuita kuti vanhu vaurayane. Munondo mukuru wakapiwa kwaari.
42060500e3	Gwayana rakati razarura chisimbiso chechitatu, ndakanzwa chisikwa chipenyu chechitatu chichiti, “Uya!” Ndakatarira, uye pamberi pangu ipapo pakanga pane bhiza dema! Mutasvi waro akanga akabata zviyero zviviri muruoko rwake.
42060600fb	Ipapo ndakanzwa kurira kwainge inzwi pakati pezvisikwa zvipenyu zvina richiti, “Chiyero chegorosi ndicho mubayiro webasa rezuva rimwe chete, uye zviyero zvitatu zvebhari ndizvo mubayiro webasa rezuva rimwe chete, uye musakanganisa mafuta newaini!”
420607006d	Gwayana rakati razarura chisimbiso chechina, ndakanzwa inzwi rechisikwa chipenyu chechina richiti, “Uya!”
420608011f	Ndakatarira, uye ipapo pamberi pangu pakanga pane bhiza rakanga rakacheneruka! Mutasvi waro ainzi Rufu, uye Hadhesi rakanga richimutevera riri pedyo mumashure make. Vakanga vapiwa simba pamusoro pechikamu chechina chenyika kuti vauraye nomunondo, nenzara nedenda, uye nezvikara zvenyika.
420609009c	Akati azarura chisimbiso chechishanu, ndakaona pasi pearitari mweya yaavo vakanga vaurayiwa nokuda kweshoko raMwari uye nokuda kwokupupura kwavakanga vaita.
42060a0092	Vakadanidzira nenzwi guru vachiti, “Ishe Tenzi, mutsvene wezvokwadi, mucharega kutonga vanogara panyika nokutsiva ropa redu kusvikira riniko?”
42060b00c8	Ipapo mumwe nomumwe wavo akapiwa nguo chena, uye vakaudzwa kuti vamirire kwechinguva chiduku, kusvikira kuwanda, kwavamwe varanda pamwe chete navo nehama dzavo avo vaifanira kuurayiwa saivo, kwakwana.
42060c00c6	Ndakatarira paaizarura chisimbiso chechitanhatu. Pakava nokudengenyeka kwenyika kukuru. Zuva rakasviba rikaita senguo dzamasaga dzakaitwa namakushe embudzi, mwedzi wose ukashanduka ukatsvuka seropa,
42060d0078	uye nyeredzi dzomudenga dzakawira panyika, samaonde eshure azuka kubva mumuonde paunenge wazungunuswa nemhepo ine simba.
42060e0058	Denga rakabva sebhuku rinopetwa, uye makomo ose nezvitsuwa zvakabviswa panzvimbo dzazvo.
42060f009a	Ipapo madzimambo enyika, machinda, vatungamiri, vapfumi, vane simba, navaranda vose uye navanhu vakasununguka vakavanda mumapako napakati pamabwe amakomo.
4206100092	Vakadanidzira kumakomo nokumabwe vachiti, “Wirai pamusoro pedu uye mutivige kubva kuchiso chaiye anogara pachigaro choushe nepahasha dzeGwayana!
4206110047	Nokuti zuva guru rehasha dzavo rasvika, uye ndianiko anogona kumira?”
42070100c0	Shure kwaizvozvi, ndakaona vatumwa vana vamire pamakona mana enyika, vakabata mhepo ina dzenyika kuti vadzivise mhepo ipi zvayo kuvhuvhuta panyika kana pamusoro pegungwa kana pamuti upi zvawo.
42070200b6	Ipapo ndakaona mumwe mutumwa achibva kumabvazuva, ane chisimbiso chaMwari mupenyu. Akadanidzira nenzwi guru kuvatumwa vana vakanga vapiwa simba rokuti vatadzire nyika negungwa akati:
4207030063	“Musatadzira nyika kana gungwa kana miti kusvikira taisa chisimbiso pahuma dzavaranda vaMwari.”
420704007c	Ipapo ndakanzwa kuwanda kwaavo vakanga vaiswa chisimbiso: zviuru zana namakumi mana nezvina, kubva kumarudzi ose avaIsraeri.
42070500a2	Kubva kurudzi rwaJudha, zviuru gumi nezviviri vakaiswa chisimbiso, kubva kurudzi rwaRubheni, zviuru gumi nezviviri, kubva kurudzi rwaGadhi, zviuru gumi nezviviri,
4207060091	kubva kurudzi rwaAsheri, zviuru gumi nezviviri, kubva kurudzi rwaNafutari, zviuru gumi nezviviri, kubva kurudzi rwaManase, zviuru gumi nezviviri,
4207070090	kubva kurudzi rwaSimeoni, zviuru gumi nezviviri, kubva kurudzi rwaRevhi, zviuru gumi nezviviri, kubva kurudzi rwaIsakari, zviuru gumi nezviviri,
4207080094	kubva kurudzi rwaZebhuruni, zviuru gumi nezviviri, kubva kurudzi rwaJosefa zviuru gumi nezviviri, kubva kurudzi rwaBhenjamini zviuru gumi nezviviri.
420709012c	Shure kwaizvozvi ndakatarira uye ndikaona ipapo pamberi pangu vazhinji zhinji vakanga vasingagoni kuverengwa, vaibva kundudzi dzose, nokumarudzi ose, navanhu vemitauro yose, vamire pamberi pechigaro choushe napamberi peGwayana. Vakanga vakapfeka nguo chena uye vakabata matavi emichindwe mumaoko avo.
42070a0075	Uye vakadanidzira nenzwi guru vachiti: “Ruponeso ndorwaMwari wedu, anogara pachigaro choushe, uye ndorweGwayana.”
42070b00b7	Vatumwa vose vakanga vamire vakakomberedza chigaro choushe uye vakakomberedza vakuru nezvisikwa zvipenyu zvina. Vakawira pasi nezviso zvavo pamberi pechigaro choushe vakanamata Mwari,
42070c0090	vachiti: “Ameni! Kurumbidzwa nokubwinya nouchenjeri nokuvonga nokukudzwa noushe nesimba ngazvive kuna Mwari wedu nokusingaperi-peri. Ameni!”
42070d0065	Ipapo mumwe wavakuru akandibvunza akati, “Ava vakapfeka nguo chena, ndivanaaniko, uye vakabvepi?”
42070e00a5	Ndakapindura ndikati, “Ishe, imi munoziva.” Uye iye akati, “Ava ndivo vaya vakabuda mukutambudzika kukuru; vakasuka nguo dzavo vakadzichenesa muropa reGwayana.
42070f00ab	Naizvozvo, “vari pamberi pechigaro chaMwari uye vanomushumira masikati nousiku mutemberi yake; uye iye anogara pachigaro choushe achatambanudza tende rake pamusoro pavo.
420710006c	Havachazoziyi nenzara zvakare; havachazonzwi nyota zvakare. Havachazopiswi nezuva, kana nokupisa kupi zvako.
420711009f	Nokuti Gwayana riri pakati pechigaro choushe richava mufudzi wavo; richavatungamirira kumatsime emvura mhenyu. Uye Mwari achapukuta misodzi yose pameso avo.”
420801005d	Akati azarura chisimbiso chechinomwe, kwakava nokunyarara kudenga kwenguva inenge hafu yeawa.
4208020053	Uye ndakaona vatumwa vanomwe vanomira pamberi paMwari, uye vakapiwa hwamanda nomwe.
42080300dc	Mumwe mutumwa, akanga ano mudziyo wezvinonhuhwira wegoridhe, akauya akamira paaritari. Akapiwa zvinonhuhwira zvizhinji zvokuzopa, pamwe chete neminyengetero yavatsvene vose, paaritari yegoridhe pamberi pechigaro choushe.
4208040072	Utsi hwezvinonhuhwira, pamwe chete neminyengetero yavatsvene, zvakakwira pamberi paMwari kubva muruoko rwomutumwa.
42080500c5	Ipapo mutumwa akatora mudziyo wezvinonhuhwira, akauzadza nomoto waibva paaritari, akaukanda panyika; uye ipapo kwakaita mabhananʼana, maungira okutinhira, kupenya kwemheni nokudengenyeka kwenyika.
420806004b	Ipapo vatumwa vanomwe vakanga vane hwamanda nomwe vakagadzirira kudziridza.
4208070110	Mutumwa wokutanga akaridza hwamanda yake, ipapo kukauya chimvuramabwe nomoto zvakavhenganiswa neropa, uye zvikakandwa pamusoro penyika. Chikamu chimwe chete muzvitatu chenyika chakapiswa, chikamu chimwe chete muzvitatu chemiti chikapiswa, uye uswa hwose hunyoro hukapiswa.
42080800c3	Mutumwa wechipiri akaridza hwamanda yake uye chimwe chinhu chakanga chakaita segomo guru, raipfuta rose, chikakandwa mugungwa. Chikamu chimwe chete muzvitatu chegungwa chakashanduka chikava ropa,
4208090088	chikamu chimwe chete muzvitatu chezvisikwa zvipenyu zviri mugungwa chikafa, uye chikamu chimwe chete muzvitatu chezvikepe chikaparadzwa.
42080a00b4	Mutumwa wechitatu akaridza hwamanda yake, uye nyeredzi huru, yakanga ichipfuta somwenje, yakawa kubva kudenga pamusoro pechikamu chimwe chete muzvitatu chenzizi nezvitubu zvemvura,
42080b0095	zita renyeredzi rainzi Chinovava. Chikamu chimwe chete muzvitatu chemvura zhinji chakavava, uye vanhu vazhinji vakafa nokuda kwemvura yakanga yovava.
42080c0179	Mutumwa wechina akaridza hwamanda yake, uye chikamu chimwe chete muzvitatu chezuva chikarohwa, chikamu chimwe chete muzvitatu chomwedzi, nechikamu chimwe chete muzvitatu chenyeredzi, zvokuti chikamu chimwe chete muzvitatu chazvo chakashanduka chikasviba. Chikamu chimwe chete muzvitatu chezuva iro chakanga chisina chiedza, uyewo nechikamu chimwe chete muzvitatu chousiku uhwo.
42080d00da	Pandakatarira, ndakanzwa gondo rakanga richibhururuka pakati pomuchadenga richirira nenzwi guru richiti, “Nhamo! Nhamo! Nhamo kuna vanogara panyika, nokuda kwehwamanda dzava kuda kuzoridzwa navamwe vatumwa vatatu!”
420901009d	Mutumwa wechishanu akaridza hwamanda yake, ndikaona nyeredzi yakanga yawira panyika ichibva kudenga. Nyeredzi yakapiwa kiyi yegomba rakadzika zvisina mugumo.
42090200b3	Akati azarura gomba rakadzika zvisina mugumo, utsi hwakabuda mariri soutsi hunobva muvira guru romoto. Zuva nomwedzi zvakasvibiswa noutsi hwaibva mugomba rakadzika zvisina mugumo.
4209030060	Uye muutsi makabuda mhashu dzikauya panyika uye dzikapiwa simba rakaita serezvinyavada zvenyika.
4209040099	Dzakaudzwa kuti dzirege kuparadza uswa hwenyika kana zvirimwa, kana miti ipi zvayo, asi vanhu vaya chete vakanga vasina chisimbiso chaMwari pahuma dzavo.
42090500a5	Hadzina kupiwa simba rokuvauraya, asi kungovarwadzisa chete kwemwedzi mishanu. Uye kurwadziwa kwavo kwakanga kwakaita sokworumborera rwechinyavada pachinoruma munhu.
4209060062	Mumazuva iwayo vanhu vachatsvaka rufu, asi havangaruwani; vachashuva kufa asi kufa kuchavanzvenga.
42090700a3	Mhashu dzakanga dzakaita samabhiza agadzirirwa kundorwa. Pamisoro yadzo dzakanga dzakapfeka zvinhu zvinenge korona yegoridhe, uye zviso zvadzo zvakaita sezvavanhu.
