0100000008	Postanak
2a06290046	A zašto vidiš trun u oku brata svog, a brvna u svom oku ne osećaš?
2a062a00d8	Ili kako možeš reći bratu svom: Brate! Stani da izvadim trun koji je u oku tvom, kad sam ne vidiš brvna u svom oku? Licemere! Izvadi najpre brvno iz oka svog, pa ćeš onda videti izvaditi trun iz oka brata svog.
2a062b004d	Jer nema drveta dobrog da rađa zao rod; niti drveta zlog da rađa dobar rod.
2a062c0066	Jer se svako drvo po rodu svom poznaje: jer se smokve ne beru s trnja, niti se grožđe bere s kupine,
2a062d008d	dobar čovek iz dobre kleti srca svog iznosi dobro, a zao čovek iz zle kleti srca svog iznosi zlo, jer usta njegova govore od suviška srca.
2a062e0046	A što me zovete: Gospode! Gospode! A ne izvršujete šta vam govorim?
2a062f0050	Svaki koji ide za mnom i sluša reči moje i izvršuje ih, kazaću vam kakav je:
2a063000b2	On je kao čovek koji gradi kuću, pa iskopa i udubi i udari temelj na kamenu; a kad dođoše vode, navali reka na onu kuću i ne može je pokrenuti, jer joj je temelj na kamenu.
2a0631009e	A koji sluša i ne izvršuje on je kao čovek koji načini kuću na zemlji bez temelja, na koju navali reka i odmah je obori, i raspade se kuća ona strašno.
2a0701003d	A kad svrši sve reči svoje pred narodom, dođe u Kapernaum.
2a07020046	U kapetana pak jednog beše sluga bolestan na umoru koji mu beše mio.
2a07030061	A kad ču za Isusa, posla k Njemu starešine judejske moleći Ga da bi došao da mu isceli slugu.
2a07040051	A oni došavši k Isusu moljahu Ga lepo govoreći: Dostojan je da mu to učiniš;
2a0705002d	jer ljubi narod naš, i načini nam zbornicu.
2a070600a7	A Isus iđaše s njima. I kad već behu blizu kuće, posla kapetan k Njemu prijatelje govoreći Mu: Gospode! Ne trudi se, jer nisam dostojan da uđeš pod moju strehu;
2a0707005a	zato i ne držah sebe dostojnog da Ti dođem, nego samo reci reč, i ozdraviće sluga moj.
2a07080094	Jer i ja sam čovek pod vlasti, i imam pod sobom vojnike, pa kažem jednom: Idi, i ide; i drugom: Dođi, i dođe; i sluzi svom: Učini to, i učini.
2a07090085	A kad to ču Isus, začudi mu se, i okrenuvši se narodu koji iđaše za Njim reče: Kažem vam: ni u Izrailju tolike vere ne nađoh.
2a070a0037	I vrativši se poslani nađoše bolesnog slugu zdravog.
2a070b0063	I potom iđaše u grad koji se zovi Nain, i s Njim iđahu mnogi učenici Njegovi i mnoštvo naroda.
2a070c009a	Kad se približiše k vratima gradskim, i gle, iznošahu mrtvaca, jedinca sina matere njegove, i ona beše udovica i naroda iz grada mnogo iđaše s njom.
2a070d0043	I videvši je Gospod sažali Mu se za njom, i reče joj: Ne plači.
2a070e005d	I pristupivši prihvati za sanduk; a nosioci stadoše, i reče: Momče! Tebi govorim, ustani.
2a070f003a	I sede mrtvac i stade govoriti; i dade ga materi njegovoj.
2a07100067	A strah obuze sve, i hvaljahu Boga govoreći: Veliki prorok iziđe među nama, i Bog pohodi narod svoj.
2a0711003b	I otide glas ovaj o Njemu po svoj Judeji i po svoj okolini.
2a0712002d	I javiše Jovanu učenici njegovi za sve ovo.
2a0713007b	I dozvavši Jovan dva od učenika svojih posla ih k Isusu govoreći: Jesi li ti Onaj što će doći, ili drugog da čekamo?
2a07140087	Došavši pak ljudi k Njemu rekoše: Jovan krstitelj posla nas k tebi govoreći: Jesi li ti Onaj što će doći, ili drugog da čekamo?
2a0715005e	A u taj čas isceli mnoge od bolesti i od muka i od zlih duhova, i mnogima slepima darova vid.
2a071600be	I odgovarajući Isus reče im: Idite i kažite Jovanu šta videste i čuste: slepi progledaju, hromi hode, gubavi čiste se, gluvi čuju, mrtvi ustaju, siromašnima propoveda se jevanđelje.
2a07170029	I blago onome koji se ne sablazni o mene.
2a07180083	A kad otidoše učenici Jovanovi, poče narodu govoriti za Jovana: Šta ste izišli u pustinji da vidite? Trsku, koju ljulja vetar?
2a07190091	Šta ste, dakle, izašli da vidite? Čoveka u meke haljine obučena? Eto, koji gospodske haljine nose i u slastima žive po carskim su dvorovima.
2a071a0051	Šta ste dakle izišli da vidite? Proroka? Da, ja vam kažem, i više od proroka;
2a071b0079	jer je ovo onaj za koga je pisano: Eto ja šaljem anđela svog pred licem Tvojim koji će pripraviti put Tvoj pred Tobom.
2a071c008a	Jer vam kažem: Nijedan između rođenih od žena nije veći prorok od Jovana krstitelja; a najmanji u carstvu Božijem veći je od njega.
2a071d0059	I svi ljudi koji slušahu i carinici opravdaše Boga, i krstiše se krštenjem Jovanovim;
2a071e0055	a fariseji i književnici odbaciše savet Božji za njih, i ne hteše da ih on krsti.
2a071f0043	A Gospod reče: Kakvi ću kazati da su ljudi ovog roda? I kakvi su?
2a07200081	Oni su kao deca koja sede po ulicama i dozivaju jedno drugo i govore: Svirasmo vam, i ne igraste, žalismo vam se, i ne plakaste.
2a07210059	Jer dođe Jovan krstitelj koji ni jede hleb ni pije vino, a vi kažete: Đavo je u njemu;
2a07220076	dođe Sin čovečiji koji i jede i pije, a vi kažete: Gle čoveka izelice i pijanice, druga carinicima i grešnicima.
2a07230027	I opravdaše premudrost sva deca njena.
2a07240067	Moljaše Ga pak jedan od fariseja da bi obedovao u njega; i ušavši u kuću farisejevu sede za trpezu:
2a07250074	I gle, žena u gradu koja beše grešnica doznavši da je Isus za trpezom u kući farisejevoj, donese sklenicu mira;
2a0726009c	i stavši sastrag kod nogu Njegovih plakaše, i stade prati noge Njegove suzama, i kosom od svoje glave otiraše, i celivaše noge Njegove, i mazaše mirom.
2a07270088	A kad vide farisej koji Ga je dozvao, reče u sebi govoreći: Da je on prorok, znao bi ko i kakva ga se žena dotiče: jer je grešnica.
2a0728005b	I odgovarajući Isus reče mu: Simone! Imam ti nešto kazati. A on reče: Učitelju! Kaži.
2a0729006a	A Isus reče: Dvojica behu dužni jednom dužniku, jedan beše dužan pet stotina dinara, a drugi pedeset.
2a072a0065	A kad oni ne imadoše da mu vrate, pokloni obojici. Kaži koji će ga od njih dvojice većma ljubiti.
2a072b005e	A Simon odgovarajući reče: Mislim onaj kome najviše pokloni. A On mu reče: Pravo si sudio.
2a072c00a7	I okrenuvši se k ženi reče Simonu: Vidiš li ovu ženu? Ja uđoh u tvoju kuću, ni vode mi na noge nisi dao; a ona suzama obli mi noge, i kosom od glave svoje otre.
2a072d0042	Celiva mi nisi dao; a ona otkako uđoh ne presta celivati mi nogu.
2a072e003a	Uljem nisi pomazao glave moje; a ona mirom pomaza mi noge.
2a072f0073	Zato kažem ti: opraštaju joj se gresi mnogi, jer je veliku ljubav imala; a kome se malo oprašta ima malu ljubav.
2a07300025	A njoj reče: Opraštaju ti se gresi.
2a07310060	I stadoše u sebi govoriti oni što seđahu s Njim za trpezom: Ko je Ovaj što i grehe oprašta?
2a07320032	A ženi reče: Vera tvoja pomože ti; idi s mirom.
2a0801007f	Posle toga iđaše On po gradovima i po selima učeći i propovedajući jevanđelje o carstvu Božijem, i dvanaestorica s Njim.
2a0802007a	I neke žene koje behu isceljene od zlih duhova i bolesti: Marija, koja se zvaše Magdalina, iz koje sedam đavola iziđe,
2a08030063	i Jovana, žena Huze pristava Irodovog, i Susana, i druge mnoge koje služahu Njemu imanjem svojim.
2a08040050	A kad se sabra naroda mnogo, i iz svih gradova dolažahu k Njemu, kaza u priči:
2a08050071	Iziđe sejač da seje seme svoje; i kad sejaše, jedno pade kraj puta, i pogazi se, i ptice nebeske pozobaše ga,
2a08060041	a drugo pade na kamen, i iznikavši osuši se, jer nemaše vlage.
2a08070032	I drugo pade u trnje, i uzraste trnje, i udavi ga.
2a0808007e	A drugo pade na zemlju dobru, i iznikavši donese rod sto puta onoliko. Govoreći ovo povika: Ko ima uši da čuje neka čuje.
2a0809003f	A učenici Njegovi pitahu Ga govoreći: Šta znači priča ova?
2a080a007f	A On reče: Vama je dano da znate tajne carstva Božijeg; a ostalima u pričama, da gledajući ne vide, i čujući ne razumeju.
2a080b002a	A priča ova znači: Seme je reč Božija.
2a080c0082	A koje je kraj puta to su oni koji slušaju, ali potom dolazi đavo, i uzima reč iz srca njihovog, da ne veruju i da se ne spasu.
2a080d0097	A koje je na kamenu to su oni koji kad čuju s radosti primaju reč; i ovi korena nemaju koji za neko vreme veruju, a kad dođe vreme kušanja otpadnu.
2a080e0082	A koje u trnje pade, to su oni koji slušaju, i otišavši, od brige i bogatstva i slasti ovog života zaguše se, i rod ne sazri.
2a080f00aa	A koje je na dobroj zemlji to su oni koji reč slušaju, i u dobrom i čistom srcu drže, i rod donose u trpljenju. Ovo govoreći povika: Ko ima uši da čuje neka čuje.
2a0810007e	Niko, pak, sveće ne poklapa sudom kad je zapali, niti meće pod odar, nego je metne na svećnjak da vide svetlost koji ulaze.
2a08110063	Jer nema ništa tajno što neće biti javno, ni sakriveno što se neće doznati i na videlo izići.
2a0812006f	Gledajte, dakle, kako slušate; jer ko ima, daće mu se, a ko nema, uzeće se od njega i ono što misli da ima.
2a08130053	Dođoše pak k Njemu mati i braća Njegova, i ne mogahu od naroda da govore s Njim.
2a08140052	I javiše Mu govoreći: Mati Tvoja i braća Tvoja stoje napolju, hoće da Te vide.
2a08150066	A On odgovarajući reče im: Mati moja i braća moja oni su koji slušaju reč Božiju i izvršuju je.
2a08160076	I dogodi se u jedan dan On uđe s učenicima svojim u lađu, i reče im: Da pređemo na one strane jezera. I pođoše.
2a08170061	A kad iđahu oni On zaspa. I podiže se oluja na jezeru, i topljahu se, i behu u velikoj nevolji.
2a08180090	I pristupivši probudiše Ga govoreći: Učitelju! Učitelju! Izgibosmo. A On ustade, i zapreti vetru i valovima; i prestadoše i posta tišina.
2a08190099	A njima reče: Gde je vera vaša? A oni se poplašiše, i čuđahu se govoreći jedan drugom: Ko je Ovaj što i vetrovima i vodi zapoveda, i slušaju Ga?
2a081a0037	I dođoše u okolinu gadarinsku koja je prema Galileji.
2a081b00a7	A kad iziđe On na zemlju, srete Ga jedan čovek iz grada u kome behu đavoli od mnogo godina, i u haljine ne oblačaše se, i ne življaše u kući, nego u grobovima.
2a081c0083	A kad vide Isusa, povika i pripade k Njemu i reče zdravo: Šta je tebi do mene, Isuse, Sine Boga Najvišeg? Molim Te, ne muči me.
2a081d00ab	Jer Isus zapovedi duhu nečistom da iziđe iz čoveka: jer ga mučaše odavno, i metahu ga u verige i u puta da ga čuvaju, i iskida sveze, i teraše ga đavo po pustinji.
2a081e0062	A Isus ga zapita govoreći: Kako ti je ime? A on reče: Legeon; jer mnogi đavoli behu ušli u nj.
2a081f002f	I moljahu Ga da im ne zapovedi da idu u bezdan.
2a08200063	A onde pasaše po gori veliko krdo svinja, i moljahu Ga da im dopusti da u njih uđu. I dopusti im.
2a08210061	Tada iziđoše đavoli iz čoveka i uđoše u svinje; i navali krdo s brega u jezero, i utopi se.
2a08220048	A kad videše svinjari šta bi, pobegoše i javiše u gradu i po selima.
2a082300ac	I iziđoše ljudi da vide šta je bilo, i dođoše k Isusu, i nađoše čoveka iz koga đavoli behu izišli, a on sedi obučen i pametan kod nogu Isusovih; i uplašiše se.
2a08240035	A oni što su videli kazaše im kako se isceli besni.
2a08250077	I moli Ga sav narod iz okoline gadarinske da ide od njih; jer se behu vrlo uplašili. A On uđe u lađu i otide natrag.
2a08260060	Čovek, pak, iz koga iziđoše đavoli moljaše da bi s Njim bio; ali ga Isus otpusti govoreći:
2a0827006d	Vrati se kući svojoj, i kazuj šta ti učini Bog. I otide propovedajući po svemu gradu šta mu Isus učini.
2a0828003b	A kad se vrati Isus, srete Ga narod, jer Ga svi očekivahu.
2a08290085	I gle, dođe čovek po imenu Jair, koji beše starešina u zbornici, i pade pred noge Isusove, i moljaše Ga da uđe u kuću njegovu;
2a082a006a	jer u njega beše jedinica kći od dvanaest godina, i ona umiraše. A kad iđaše Isus, turkaše Ga narod.
2a082b008e	I beše jedna bolesna žena od tečenja krvi dvanaest godina, koja je sve svoje imanje potrošila na lekare i nijedan je nije mogao izlečiti,
2a082c005e	i pristupivši sastrag dotače se skuta od haljine Njegove, i odmah stade tečenje krvi njene.
2a082d00ba	I reče Isus: Ko je to što se dotače mene? A kad se svi odgovarahu, reče Petar i koji behu s njim: Učitelju! Narod Te opkolio i turka Te, a Ti kažeš: Ko je to što se dotače mene?
2a082e004b	A Isus reče: Neko se dotače mene; jer ja osetih silu koja iziđe iz mene.
2a082f0091	A kad vide žena da se nije sakrila, pristupi drhćući, i pade pred Njim, i kaza Mu pred svim narodom zašto Ga se dotače i kako odmah ozdravi.
2a08300046	A On joj reče: Ne boj se, kćeri! Vera tvoja pomože ti; idi s mirom.
2a08310074	Dok On još govoraše, dođe neko od kuće starešine zborničkog govoreći mu: Umre kći tvoja, ne trudi učitelja.
2a0832004a	A kad ču Isus, odgovori mu govoreći: Ne boj se, samo veruj, i oživeće.
2a08330065	A kad dođe u kuću, ne dade nijednome ući osim Petra i Jovana i Jakova, i devojčinog oca i matere.
2a08340050	A svi plakahu i jaukahu za njom; a On reče: Ne plačite, nije umrla nego spava.
2a08350028	I podsmevahu Mu se znajući da je umrla.
2a08360047	A On izagnavši sve uze je za ruku, i zovnu govoreći: Devojko! Ustani!
2a08370048	I povrati se duh njen, i ustade odmah; i zapovedi da joj daju neka jede.
2a08380050	I diviše se roditelji njeni. A On im zapovedi da nikome ne kazuju šta je bilo.
2a09010061	Sazvavši, pak, dvanaestoricu dade im silu i vlast nad svim đavolima, i da isceljuju od bolesti.
2a09020044	I posla ih da propovedaju carstvo Božije, i da isceljuju bolesnike.
2a0903006b	I reče im: Ništa ne uzimajte na put, ni štapa ni torbe ni hleba ni novaca, niti po dve haljine da imate.
2a09040032	U koju kuću uđete onde budite i odande polazite.
2a09050063	I gde vas ne prime izlazeći iz grada onog otresite i prah s nogu svojih, za svedočanstvo na njih.
2a09060052	A kad iziđoše, iđahu po selima propovedajući jevanđelje i isceljujući svuda.
2a09070075	A kad ču Irod četvorovlasnik šta On čini, ne mogaše se načuditi, jer neki govorahu da je Jovan ustao iz mrtvih,
2a09080048	a jedni da se Ilija pojavio, a jedni da je ustao koji od starih proroka.
2a09090065	I reče Irod: Jovana ja posekoh; ali ko je to o kome ja takva čudesa slušam? I željaše Ga videti.
2a090a007d	I vrativši se apostoli kazaše Mu šta su počinili. I uzevši ih otide nasamo u pustinju kod grada koji se zvaše Vitsaida.
2a090b007a	A narod razumevši pođe za Njim, i primivši ih govoraše im o carstvu Božijem i isceljivaše koji trebahu isceljivanja.
2a090c00a8	A dan stade naginjati. Tada pristupiše dvanaestorica i rekoše Mu: Otpusti narod, neka idu na konak u okolna sela i palanke, i nek nađu jela, jer smo ovde u pustinji.
2a090d0098	A On im reče: Podajte im vi neka jedu. A oni rekoše: U nas nema više od pet hlebova i dve ribe; već ako da idemo mi da kupimo na sve ove ljude jela?
2a090e0062	Jer beše ljudi oko pet hiljada. Ali On reče učenicima svojim: Posadite ih na gomile po pedeset.
2a090f0025	I učiniše tako, i posadiše ih sve.
2a0910007c	A On uze onih pet hlebova i obe ribe, i pogledavši na nebo blagoslovi ih i prelomi, i davaše učenicima da razdadu narodu.
2a09110054	I jedoše i nasitiše se svi, i nakupiše komada dvanaest kotarica što im preteče.
2a0912006f	I kad se jedanput moljaše Bogu nasamo, s Njim behu učenici, i zapita ih govoreći: Ko govore ljudi da sam ja?
2a0913007f	A oni odgovarajući rekoše: Jedni vele da si Jovan krstitelj, a drugi da si Ilija; a drugi da je koji ustao od starih proroka.
2a09140058	A On im reče: A vi šta mislite ko sam ja? A Petar odgovarajući reče: Hristos Božji.
2a09150032	A On im zapreti i zapovedi da nikome ne kazuju to,
2a091600aa	govoreći da Sin čovečiji treba mnogo postradati, i da će Ga starešine i glavari sveštenički i književnici okriviti, i da će Ga ubiti, i treći dan da će ustati.
2a0917005f	A svima govoraše: Ko hoće da ide za mnom neka se odreče sebe i uzme krst svoj i ide za mnom.
2a0918006b	Jer ko hoće dušu svoju da sačuva, izgubiće je; a ko izgubi dušu svoju mene radi onaj će je sačuvati.
2a09190057	Jer kakvu će korist imati čovek ako sav svet pridobije, a sebe izgubi ili sebi naudi?
2a091a0080	Jer ko se postidi mene i mojih reči, njega će se Sin čovečiji postideti kad dođe u slavi svojoj i Očevoj i svetih anđela.
2a091b006f	A zaista vam kažem: imaju neki među ovima što stoje ovde koji neće okusiti smrt dok ne vide carstvo Božje.
2a091c0068	A kad prođe osam dana posle onih reči, uze Petra i Jovana i Jakova i iziđe na goru da se pomoli Bogu.
2a091d0051	I kad se moljaše postade lice Njegovo drugačije, i odelo Njegovo belo i sjajno.
2a091e003e	I gle, dva čoveka govorahu s Njim, koji behu Mojsije i Ilija.
2a091f005d	Pokazaše se u slavi, i govorahu o izlasku Njegovom koji Mu je trebalo svršiti u Jerusalimu.
2a09200074	A Petar i koji behu s njim behu zaspali; ali probudivši se videše slavu Njegovu i dva čoveka koji s Njim stajahu.
2a092100b4	I kad se odvojiše od Njega reče Petar Isusu: Učitelju! Dobro nam je ovde biti; i da načinimo tri senice: jednu Tebi, i jednu Mojsiju, i jednu Iliji: ne znajući šta govoraše.
2a09220055	A dok On to govoraše dođe oblak i zakloni ih; i uplašiše se kad zađoše u oblak.
2a0923004e	I ču se glas iz oblaka govoreći: Ovo je Sin moj ljubazni, Njega poslušajte.
2a09240075	I kad se čujaše glas nađe se Isus sam. I oni ućutaše, i nikom ne javiše ništa u one dane od onog šta videše.
2a09250043	A dogodi se drugi dan kad siđoše s gore srete Ga mnoštvo naroda.
