0100000009	Yaritilix
2c010c007a	Andin ular Yerusalemƣa yeⱪin, uningdin bir qaⱪirimqǝ yiraⱪliⱪtiki Zǝytun teƣidin Yerusalemƣa ⱪaytip kǝldi.
2c010d011d	Ular xǝⱨǝrgǝ kirip, ɵzliri turuwatⱪan ɵyning üstünki ⱪǝwitidiki bir ɵygǝ qiⱪti. Xu yǝrdǝ Petrus, Yuⱨanna, Yaⱪup, Andiriyas, Filip, Tomas, Bartolomay, Matta, Alfayning oƣli Yaⱪup, «millǝtpǝrwǝr» Simon wǝ [yǝnǝ bir] Yaⱪupning oƣli Yǝⱨuda bar idi.
2c010e00cd	Bular bir jan bir dil bolup üzüldürmǝy berilip dua-tilawǝt ⱪilixti; bu ixta bir yǝrgǝ jǝm bolƣanlardin birⱪanqǝ ayal, jümlidin Əysaning anisi Mǝryǝm ⱨǝmdǝ Əysaning inilirimu bar idi.
2c010f0088	Xu künlǝrning biridǝ, Petrus ⱪerindaxlar otturisida ɵrǝ turup (jǝm boluxⱪanlar bir yüz yigirmigǝ yeⱪin idi) mundaⱪ dedi:
2c011000dd	— Ⱪerindaxlar, Əysani tutⱪanlarƣa yol baxliƣuqi bolƣan Yǝⱨuda ⱨǝⱪⱪidǝ Muⱪǝddǝs Roⱨning burun Dawut arⱪiliⱪ aldin eytⱪan muⱪǝddǝs yazmilardiki sɵzliri ǝmǝlgǝ exixi muⱪǝrrǝr idi.
2c01110060	Qünki [Yǝⱨuda]mu arimizdin biri ⱨesablanƣan wǝ [Hudaning] bu hizmitidin nesiwisi bar idi
2c0112009c	(u ⱪilƣan ⱪǝbiⱨlikning in’amidin erixkǝn pulƣa bir parqǝ yǝr setiwalƣanidi, u xu yǝrdǝ bexiqilap yiⱪilip, üqǝy-ⱪerini quwulup kǝtti;
2c011300a8	bu ix pütkül Yerusalemdikilǝrgǝ mǝlum bolup, ular u yǝrni ɵz tili bilǝn «Ⱨaⱪǝldǝma» dǝp ataxti. Buning mǝnisi «ⱪan tɵkülgǝn yǝr» degǝnliktur)
2c011400d4	Qünki Zǝburda [Yǝⱨudaƣa] [ⱪaritilƣan] munu sɵzlǝr pütülgǝn: — «Uning turalƣusi qɵlgǝ aylansun, Uningda ⱨeq turƣuqi bolmisun!» Wǝ: — «Uning yetǝkqilik orniƣa baxⱪa birsi qiⱪsun!»
2c01150166	Xuning üqün, Rǝb Əysaning tirilgǝnlikigǝ biz bilǝn tǝng guwaⱨliⱪ berixi üqün, bir kixini talliximiz kerǝk. Bu kixi Əysa arimizda yürgǝn künlǝrdǝ, Yǝⱨya [pǝyƣǝmbǝr]din qɵmüldürüxni ⱪobul ⱪilƣan kündin baxlap taki asmanƣa kɵtürülgǝn küngiqǝ biz bilǝn baxtin-ahir billǝ bolƣan kixilǝrdin boluxi kerǝk, — dedi.
2c01170098	Xuning bilǝn ular Yüsüp (yǝnǝ Barsabas dǝpmu atalƣan, yǝnǝ bir ismi Yustus) bilǝn Mattiyas degǝn ikki kixini bekitip, mundaⱪ dua ⱪilixti:
2c01180136	— Sǝn, i ⱨǝmmǝ adǝmning ⱪǝlbini bilgüqi Pǝrwǝrdigar! Yǝⱨuda teyilip bu hizmǝt wǝ rosulluⱪtin mǝⱨrum bolup ɵzigǝ has bolƣan yǝrgǝ kǝtti. Əmdi u taxlap ⱪoyƣan hizmǝt wǝ rosulluⱪning nesiwisigǝ igǝ boluxⱪa bu ikkiylǝndin ⱪaysisini talliƣanliⱪingni kɵrsǝtkǝysǝn!
2c011a0092	Andin ular bu ikki kixigǝ qǝk taxliwidi, qǝk Mattiyasⱪa qiⱪti. Xuning bilǝn u on bir rosul bilǝn bir ⱪatardin orun alƣan ⱨesablandi.
2c02010077	Əmdi «orma ⱨeyt» künining waⱪti-saiti toxⱪanda, bularning ⱨǝmmisi Yerusalemda bir yǝrgǝ jǝm bolƣanidi.
2c02020068	Asmandin tuyuⱪsiz küqlük xamal soⱪⱪandǝk bir awaz anglinip, ular olturuwatⱪan ɵyni bir aldi.
2c02030060	Ot yalⱪunidǝk tillar ularƣa kɵrünüp, ularning ⱨǝrbirining üstigǝ tarⱪilip ⱪondi.
2c02040086	Ularning ⱨǝmmisi Muⱪǝddǝs Roⱨⱪa toldurulup, Roⱨ ularƣa sɵz ata ⱪilixi bilǝn ular namǝlum tillarda sɵzligili turdi.
2c02050079	U qaƣda, asman astidiki barliⱪ ǝllǝrdin kǝlgǝn nurƣun ihlasmǝn Yǝⱨudiy ǝrlǝrmu Yerusalemda turuwatⱪanidi.
2c020600d0	Əmdi [etiⱪadqilarning] bu awazi anglinip, top-top adǝmlǝr xu yǝrgǝ jǝm boluxti ⱨǝmdǝ [etiⱪadqilarning] ɵzliri turuxluⱪ jaydiki tillarda sɵzlixiwatⱪanliⱪini anglap, tengirⱪap ⱪelixti.
2c0207006e	Ular ⱨǝyran bolup tǝǝjjüplinip: — Ⱪaranglar, sɵzlixiwatⱪanlarning ⱨǝmmisi Galiliyǝliklǝrƣu?
2c0208006c	Ⱪandaⱪlarqǝ ularning bizning ana yurtimizdiki tillirimizda sɵzlixiwatⱪanliⱪini anglawatⱪandimiz?
2c0209006a	Arimizda Partiyalar, Medialar, Elamlar, xundaⱪla Mesopotamiyǝ, Yǝⱨudiyǝ, Kapadokiya, Pontus, Asiya,
2c020a0193	Frigiyǝ ⱨǝm Pamfiliyǝ, Misir, Liwiyǝning Kurinigǝ yeⱪin jayliridin kǝlgǝnlǝr, xuningdǝk muxu yǝrdǝ musapir bolup turuwatⱪan Rim xǝⱨiridin kǝlgǝnlǝr — Yǝⱨudiylar bolsun, Tǝwrat etiⱪadiƣa kirgǝnlǝr bolsun, Kretlar wǝ Ərǝblǝr bolsun, ⱨǝmmimiz ularning Hudaning ⱪilƣan uluƣ ǝmǝllirini bizning ana tillirimizda sɵzlǝwatⱪanliⱪini anglawatimiz! — deyixti.
2c020c0064	Ular ⱨang-tang ⱪelip alaⱪzadilik bilǝn bir-birigǝ: — Bu zadi ⱪandaⱪ ixtu? — deyixti.
2c020d0068	Əmma bǝzilǝr: — Bular yengi xarab bilǝn obdanla mǝst bolup ⱪaptu! — dǝp mǝshirǝ ⱪilixti.
2c020e00f4	Əmma Petrus ⱪalƣan on birǝylǝn bilǝn ornidin turup, awazini kɵtürüp kɵpqilikkǝ mundaⱪ dedi: — Əy Yǝⱨudiyǝdikilǝr wǝ Yerusalemda barliⱪ turuwatⱪanlar! Bu ix silǝrgǝ mǝlum bolƣayki, sɵzlirimgǝ ⱪulaⱪ selinglar!
2c020f0061	Bular silǝr oyliƣandǝk mǝst ǝmǝs, qünki ⱨazir pǝⱪǝt ǝtigǝn saǝt toⱪⱪuz boldi.
2c0210004f	Əmǝliyǝttǝ bu dǝl Yoel pǝyƣǝmbǝr arⱪiliⱪ aldin eytilƣan xu ixtur:
2c0211012d	— «Huda mundaⱪ dedi: «Mǝn ahirⱪi künlǝrdǝ Ɵz Roⱨimni barliⱪ ǝt igiliri üstigǝ ⱪuyimǝn; Silǝrning oƣul-ⱪizliringlar wǝⱨiylik bexarǝt yǝtküzidu, Silǝrning yigitliringlar ƣayibanǝ alamǝt kɵrünüxlǝrni kɵridu; Silǝrning ⱪeriliringlar alamǝt qüxlǝrni kɵridu;
2c02120079	Bǝrⱨǝⱪ, xu künlǝrdǝ ⱪullirim üstigimu, dedǝklirim üstigimu Roⱨimni ⱪuyimǝn, ular bexarǝt yǝtküzidu.
2c0213008b	Mǝn yuⱪirida asmanlarda karamǝt ixlar, tɵwǝndǝ, zeminda mɵjizilik alamǝtlǝrni, Ⱪan, ot, is-tütǝk tüwrüklirini kɵrsitimǝn.
2c02140075	Rǝbning uluƣ ⱨǝm karamǝt-xǝrǝplik küni bolmiƣuqǝ, Ⱪuyax ⱪarangƣuluⱪⱪa, Ay ⱪanƣa aylandurulidu.
2c0215007e	Ⱨǝm xu qaƣda xundaⱪ ǝmǝlgǝ axuruliduki, Rǝbning namini qaⱪirip nida ⱪilƣanlarning ⱨǝmmisi ⱪutⱪuzulidu».
2c02160101	Əy Israillar, muxu sɵzlǝrni anglanglar. Nasarǝtlik Əysa bolsa, Huda aranglarda u arⱪiliⱪ kɵrsǝtkǝn ⱪudrǝtlik ǝmǝllǝr, karamǝtlǝr wǝ mɵjizilik alamǝtlǝr bilǝn silǝrgǝ tǝstiⱪliƣan bir zat — bu ixlar ⱨǝmminglarƣa mǝlum —
2c021700dd	u kixi Hudaning bekitkǝn mǝⱪsiti wǝ aldin’ala bilixi boyiqǝ satⱪunluⱪⱪa uqrap tutup berilgǝndin keyin, silǝr uni Tǝwrat ⱪanunisiz yürgǝn adǝmlǝrning ⱪoli arⱪiliⱪ krestlǝp ɵltürgüzdünglar.
2c02180090	Lekin Huda uni ɵlümning azablarning ilkidin azad ⱪilip ⱪayta tirildürdi. Qünki ɵlümning uni tutⱪun ⱪilixi ⱨǝrgiz mumkin ǝmǝs.
2c021900b8	Dawut [Zǝburda] u toƣruluⱪ mundaⱪ aldin eytⱪan: «Mǝn Pǝrwǝrdigarni ⱨǝrdaim kɵz aldimda kɵrüp keliwatimǝn; U ong yenimda bolƣaqⱪa, Mǝn ⱨǝrgiz tǝwrǝnmǝymǝn.
2c021a0068	Xunga mening ⱪǝlbim huxallandi, Mening tilim xadlinip yayridi; Mening tenim ümid-arzu iqidǝ turidu;
2c021b007e	Qünki Sǝn jenimni tǝⱨtisarada ⱪaldurmaysǝn, Xundaⱪla Sening Muⱪǝddǝs Bolƣuqungƣa qirixlǝrni kɵrgüzmǝysǝn.
2c021c006f	Sǝn manga ⱨayat yollirini kɵrsǝtkǝnsǝn; Ⱨuzurung bilǝn meni xad-huramliⱪⱪa tolup taxⱪuzisǝn».
2c021d009b	Ⱪerindaxlar, mǝn atimiz [padixaⱨ] Dawut toƣruluⱪ ⱨeq ikkilǝnmǝy xuni eytimǝnki, u ɵldi wǝ uning ⱪǝbrisi bügünki küngiqǝ arimizda bar.
2c021e009a	Əmdi u pǝyƣǝmbǝr bolup, Hudaning uning tǝhtigǝ olturuxⱪa ɵz puxtidin birǝylǝnni turƣuzuxⱪa ⱪǝsǝm bilǝn wǝdǝ bǝrgǝnlikini bilǝtti.
2c021f00cf	U Mǝsiⱨning [ɵlgǝndin keyin] tirildürülidiƣinini aldin’ala kɵrüp yǝtkǝn wǝ bu munasiwǝt bilǝn Mǝsiⱨning tǝⱨtisarada ⱪaldurulmaydiƣinini wǝ tenining qirimǝydiƣinini tilƣa alƣan.
2c02200057	Huda dǝl bu Əysani ɵlümdin tirildürdi, wǝ ⱨǝmmimiz bu ixning guwaⱨqilirimiz.
2c022100d4	U Hudaning ong yenida xan-xǝrǝp iqidǝ olturƣuzulup, xundaⱪla Ata wǝdǝ ⱪilƣan Muⱪǝddǝs Roⱨni ⱪobul ⱪilip, ⱨazir kɵrüwatⱪan ⱨǝm anglawatⱪanliringlarni tɵküp [bizlǝrgǝ] qüxürdi.
2c022200eb	Qünki Dawut ɵzi ǝrxkǝ qiⱪⱪan ǝmǝs; lekin u munu sǝzlǝrni [Zǝburda] eytⱪan: — «Pǝrwǝrdigar mening Rǝbbimgǝ eyttiki: — «Mǝn sening düxmǝnliringni tǝhtipǝring ⱪilmiƣuqǝ, Mening ong yenimda olturƣin!»».
2c022400a4	Xuning üqün, pütkül Israil jǝmǝtidikilǝr xuni ⱪǝt’iy bilsunki, Huda silǝr krestligǝn dǝl uxbu Əysani ⱨǝm Rǝb ⱨǝm Mǝsiⱨ ⱪilip tiklidi!».
2c022500c4	Bu sɵzlǝr angliƣanlarning yürikigǝ sanjilƣandǝk ⱪattiⱪ tǝgkǝn bolup ular Petrus wǝ baxⱪa rosullardin: — I ⱪerindaxlar, undaⱪta biz nemǝ ⱪiliximiz kerǝk? — dǝp soraxti.
2c02260107	Petrus ularƣa: — Towa ⱪilinglar, ⱨǝrbiringlar Əysa Mǝsiⱨning namida gunaⱨliringlarning kǝqürüm ⱪilinixi üqün qɵmüldürüxni ⱪobul ⱪilinglar wǝ xundaⱪ ⱪilsanglar Hudaning iltipati bolƣan Muⱪǝddǝs Roⱨ silǝrgǝ ata ⱪilinidu.
2c022700bf	Qünki bu wǝdǝ silǝrgǝ wǝ silǝrning baliliringlarƣa, yiraⱪta turuwatⱪanlarning ⱨǝmmisigǝ, yǝni Pǝrwǝrdigar Hudayimiz ɵzigǝ qaⱪirƣanlarning ⱨǝmmisigǝ ata ⱪilinidu.
2c0228009b	Petrus yǝnǝ nurƣun baxⱪa sɵzlǝr bilǝn ularni agaⱨlandurup ularƣa: — Silǝr ɵzünglarni bu iplas dǝwrdin ⱪutⱪuzunglar! — dǝp jekilidi.
2c02290080	Xuning bilǝn uning sɵzini ⱪobul ⱪilƣanlar qɵmüldürülüxti. Xu küni [jamaǝtkǝ] ⱪoxulƣanlar üq mingqǝ kixi idi.
2c022a008d	Ular ɵzlirini izqil ⱨalda rosullarning tǝlimigǝ, [etiⱪadqilarning] birlik-ⱨǝmdǝmlikigǝ, nanni oxtuxⱪa wǝ dualarƣa beƣixlidi.
2c022b0095	Wǝ ⱪorⱪunq ularning ⱨǝrbirining üstigǝ qüxti wǝ rosullarning wasitisi bilǝn nurƣun karamǝtlǝr wǝ mɵjizilik alamǝtlǝr yüz bǝrdi.
2c022c0056	Pütün etiⱪadqilar dawamliⱪ jǝm bolup billǝ yaxap, barliⱪini ortaⱪ tutuxti.
2c022d006d	Ular mal-mülüklirini setip, pulini ⱨǝrkimning eⱨtiyajiƣa ⱪarap ⱨǝmmisigǝ tǝⱪsim ⱪilixatti.
2c022e00b0	Ular ⱨǝr küni ibadǝthana ⱨoylisiƣa bir niyǝttǝ jǝm boluxatti, ɵy-ɵylǝrdǝ huxal-huramliⱪ wǝ aⱪ kɵngüllük bilǝn ortaⱪ ƣizalinixip, nanni oxtup yeyixip,
2c022f0098	Hudaƣa mǝdⱨiyǝ oⱪuxatti; ular pütkül halayiⱪning izzitigǝ sazawǝr boldi. Rǝb ⱨǝr küni ⱪutⱪuzuluwatⱪanlarni jamaǝtkǝ ⱪoxatti.
2c03010094	Bir küni ibadǝthanida dua ⱪilinidiƣan waⱪitta, yǝni qüxtin keyin saǝt üqtǝ, Petrus bilǝn Yuⱨannamu ibadǝthaniƣa qiⱪip barƣanidi.
2c030200d9	Xu pǝyttǝ bir tuƣma tokur adǝmmu bu yǝrgǝ elip keliniwatⱪanidi. Ⱨǝr küni, kixilǝr uni ibadǝthaniƣa kirgǝnlǝrdin sǝdiⱪǝ tilisun dǝp, ibadǝthanidiki «Güzǝl dǝrwaza» aldiƣa ǝkelip ⱪoyatti.
2c03030066	U Petrus bilǝn Yuⱨannaning ibadǝthaniƣa kirip ketiwatⱪinini kɵrüp, ulardin sǝdiⱪǝ tilidi.
2c0304005f	Petrus bilǝn Yuⱨanna uningƣa nǝzirini saldi. Petrus uningƣa: — Bizgǝ ⱪara! — dedi.
2c03050042	U ulardin bir nǝrsǝ kütüp, kɵzlirini üzmǝy ⱪarap turatti.
2c030600b1	Biraⱪ Petrus uningƣa: — Mǝndǝ altun yaki kümüx yoⱪ; lekin ⱪolumda barini sanga berǝy. Nasarǝtlik Əysa Mǝsiⱨning nami bilǝn, ornungdin turup mang! — dewidi,
2c0307006b	uni ong ⱪolidin tartip, yɵlǝp turƣuzdi. U adǝmning put wǝ oxuⱪ beƣixliri xuan küqlǝndürülüp,
2c03080096	ornidin dǝs turup mengixⱪa baxlidi. U mengip wǝ sǝkrǝp, Hudaƣa mǝdⱨiyǝ oⱪuƣan ⱨalda ular bilǝn billǝ ibadǝthana ⱨoylisiƣa kirdi.
2c0309004d	Barliⱪ halayiⱪ uning mengip Hudaƣa mǝdⱨiyǝ oⱪuƣanliⱪini kɵrüp
2c030a00bc	uning ibadǝthanidiki «güzǝl dǝrwaza» aldida sǝdiⱪǝ tilǝp olturidiƣan ⱨeliⱪi adǝm ikǝnlikini tonup, uningda yüz bǝrginigǝ ⱨǝyranuⱨǝs bolup dang ⱪetip ⱪelixti.
2c030b00cb	[Saⱪayƣan kixi] Petrus bilǝn Yuⱨannaƣa qing esilip turuwalƣanda, ⱨǝyran boluxⱪan barliⱪ hǝlⱪ ularning yeniƣa [ibadǝthanidiki] «Sulayman pexaywini» degǝn yǝrgǝ yügürüp kelixti.
2c030c00f5	Bu ǝⱨwalni kɵrgǝn Petrus halayiⱪⱪa mundaⱪ dedi: — I Israillar! Bu ixⱪa nemanqǝ ⱨǝyran bolisilǝr? Biz huddi ɵz küq-kudritimiz yaki ihlasmǝnlikimizgǝ tayinip bu adǝmni mangdurƣandǝk bizgǝ nemanqǝ tikilip ⱪaraysilǝr?
2c030d016b	Əmǝliyǝttǝ bolsa, ata-bowilirimizning Hudasi, yǝni Ibraⱨim, Isⱨaⱪ wǝ Yaⱪupning Hudasi Ɵz hizmǝtkari bolƣan Əysani xan-xǝrǝp bilǝn uluƣliƣan. Biraⱪ silǝr bolsanglar uni [rimliⱪlarƣa] tutup bǝrdinglar; andin [waliy] Pilatus uni ⱪoyup berixni ⱨɵküm ⱪilƣandin keyin, silǝr Pilatusning aldida uningdin tenip rǝt ⱪilixtinglar.
2c030e009f	Mana silǝr Muⱪǝddǝs wǝ Ⱨǝⱪⱪaniy Bolƣuqidin tenip, uni rǝt ⱪilip [Pilatustin] uning orniƣa bir ⱪatilni ⱪoyup berixni tǝlǝp ⱪildinglar.
2c030f009a	Xundaⱪ ⱪilip, ⱨayatliⱪni barliⱪⱪa Kǝltürgüqini ɵltürdünglar! Biraⱪ Huda uni ɵlümdin tirildürdi, biz mana buningƣa guwaⱨqidurmiz.
2c031000e2	Mana uning namiƣa ⱪilƣan etiⱪad arⱪiliⱪ, uning nami silǝr kɵrüwatⱪan wǝ tonuydiƣan bu adǝmgǝ dǝrman kirgüzdi; uning arⱪiliⱪ bolƣan etiⱪad u kixini kɵz aldinglarda sǝllimaza saⱪ-salamǝt ⱪildi.
2c03110087	Əmdi ⱪerindaxlar, silǝrning wǝ xuningdǝk silǝrning baxliⱪliringlarningmu bu ixni ƣǝplǝttǝ ⱪilƣanliⱪinglarni bilimǝn.
2c031200b2	Lekin Huda barliⱪ pǝyƣǝmbǝrlǝrning aƣzi bilǝn aldin’ala jakarliƣanlirini, yǝni uning Mǝsiⱨining azab-oⱪubǝt tartidiƣanliⱪini xu yol bilǝn ǝmǝlgǝ axurdi.
2c031300e3	Xuning üqün gunaⱨinglarning ɵqürüwetilixi üqün ⱨazir towa ⱪilip yolliringlardin burulunglar! Xundaⱪ ⱪilƣanda, insanlarning jenini yengilanduridiƣan pǝsil-künlǝr Pǝrwǝrdigarning ⱨuzuridin qiⱪip kelidu
2c03140062	wǝ u silǝr üqün aldin tiklǝngǝn Mǝsiⱨ, yǝni Əysani ⱪexinglarƣa ⱪaytidin ǝwǝtidu.
2c031500eb	Ⱨazirqǝ bolsa, Hudaning dǝslǝptiki zamanlardin tartip muⱪǝddǝs pǝyƣǝmbǝrlirining aƣzi bilǝn eytⱪinidǝk, ⱨǝmmǝ mǝwjudatlar yengilinidiƣan waⱪit kǝlmigüqǝ, ǝrxlǝr uni ⱪobul ⱪilip, uningƣa makan bolidu.
2c031600f3	Musa dǝrwǝⱪǝ mundaⱪ degǝnidi: — «Pǝrwǝrdigar Hudayinglar ɵz ⱪerindaxliringlar arisidin manga ohxax bir pǝyƣǝmbǝr turƣuzidu. Uning silǝrgǝ eytⱪan barliⱪ sɵzlirini anglap, uningƣa toluⱪ itaǝt ⱪilixinglar kerǝk!
2c0317006c	Qünki bu pǝyƣǝmbǝrning sɵzini anglimaydiƣanlarning ⱨǝrbiri hǝlⱪ ⱪataridin üzüp taxlinidu».
2c031800a1	Dǝrwǝⱪǝ, Samuil [pǝyƣǝmbǝr] wǝ uningdin keyin kelip bexarǝtlǝrni yǝtküzgǝn pǝyƣǝmbǝrlǝrning ⱨǝmmisi bu künlǝr toƣrisida aldin eytⱪan.
2c0319012a	Silǝr bu pǝyƣǝmbǝrlǝrning pǝrzǝntlirisilǝr wǝ Huda ata-bowanglar bilǝn tüzgǝn ǝⱨdining pǝrzǝntliridursilǝr — bu ǝⱨdǝ boyiqǝ Huda Ibraⱨimƣa: «Sening nǝsling arⱪiliⱪ yǝr yüzidiki barliⱪ ailǝ-jǝmǝtlǝrgǝ bǝht-bǝrikǝt ata ⱪilinidu» dǝp wǝdǝ bǝrgǝn.
2c031a00ad	Xunga Huda ⱨǝrbiringlarni ɵz rǝzillikliringlardin ⱪayturup, silǝrgǝ bǝht-bǝrikǝt ata ⱪilix üqün, hizmǝtkari Əysani turƣuzup, uni awwal silǝrgǝ ǝwǝtti.
2c040100a1	Petrus bilǝn Yuⱨanna halayiⱪⱪa gǝp ⱪiliwatⱪanda, kaⱨinlar, ibadǝthana ⱪarawullirining baxliⱪi wǝ Saduⱪiylar ularning yeniƣa kelip ⱪaldi.
2c040200a5	Ular [rosullarning] halayiⱪⱪa tǝlim berixi, jümlidin «Əysaning wasitisi bilǝn ɵlgǝnlǝr tirildürülidu» dǝp jakarliƣini üqün intayin ǝsǝbiylǝxti.
2c04030062	Ular ularni tutⱪun ⱪilip, ǝtisigiqǝ türmigǝ solap ⱪoydi, qünki kǝq kirip ⱪalƣanidi.
2c04040094	Lekin jar ⱪilinƣan sɵz-kalamni angliƣanlarning kɵpi etiⱪad ⱪildi; xuning bilǝn etiⱪad ⱪilƣan ǝrlǝrning sanila bǝx mingƣa yǝtti.
2c04050073	Ətisi, [Yǝⱨudiylarning kengǝxmisidiki] baxliⱪlar, aⱪsaⱪallar wǝ Tǝwrat ustazliri Yerusalemda toplandi.
2c0406007a	Ularning arisida bax kaⱨin Annas, Ⱪayafas, Yuⱨanna, Iskǝndǝr wǝ bax kaⱨinning baxⱪa jǝmǝtidikilǝr bar idi.
2c040700a1	Ular [Petrus bilǝn Yuⱨannani] arisiƣa turƣuzup: — Silǝr bu ixni ⱪaysi küq-ⱪudrǝtkǝ tayinip yaki kimning nami bilǝn ⱪildinglar? — dǝp soridi.
2c04080086	Petrus Muⱪǝddǝs Roⱨⱪa toldurulƣan ⱨalda ularƣa mundaⱪ dedi: Hǝlⱪning ⱨɵkümranliri wǝ Israilning aⱪsaⱪalliri!
2c04090097	Əgǝr biz bügün bu tokur adǝmgǝ kɵrsǝtkǝn yahxi ǝmǝl ⱨǝm uning ⱪandaⱪ saⱪaytilƣanliⱪi sǝwǝblik soraⱪⱪa tartilƣan bolsaⱪ,
2c040a00fc	silǝr wǝ pütkül Israil hǝlⱪi xuni bilsunki, silǝr krestligǝn, ǝmma Huda ɵlümdin tirildürgǝn Nasarǝtlik Əysa Mǝsiⱨning nami bilǝn, uning [küq-ⱪudriti] arⱪiliⱪ bu kixi muxu yǝrdǝ aldinglarda pütünlǝy saⱪ-salamǝt turidu!
2c040b00a0	Bu [Əysa] bolsa, [muⱪǝddǝs yazmilarda] [pütülgǝndǝk], dǝl silǝr tamqilar etibarsiz dǝp taxliwǝtkǝn, biraⱪ burjǝk texi bolup tiklǝngǝn taxtur.
2c040c00bf	Uningdin baxⱪa ⱨeqkimdǝ nijatliⱪ yoⱪ, qünki pütkül asman astida insanlar arisiƣa tǝⱪdim ⱪilinƣan, Əysadin baxⱪa bizni ⱪutⱪuzidiƣan ⱨeqⱪandaⱪ bir nam yoⱪtur.
2c040d00cf	Petrus bilǝn Yuⱨannaning bu jüritini kɵrgǝn ⱨɵkümranlar ularning oⱪumiƣan adǝttiki adǝmlǝrdin ikǝnlikini bilip, ⱨǝyran boluxti; ularning burun Əysa bilǝn billǝ bolƣanliⱪinimu bildi.
2c040e0086	Uning üstigǝ, saⱪayƣan ⱨeliⱪi adǝmning ularning yenida turuwatⱪanliⱪini kɵrüp, ular ⱨeqⱪandaⱪ gǝp yanduralmidi.
2c040f006f	Xuning bilǝn ⱨɵkümranlar ularni kengǝxmidin qiⱪixⱪa buyrudi. Andin bir-biri bilǝn mǝsliⱨǝtlixip:
2c041000d0	— Bularni ⱪandaⱪ ⱪilimiz? Qünki ularning wasitisi bilǝn heli kɵrünǝrlik mɵjizilik bir alamǝt yüz bǝrgǝnliki pütkül Yerusalemdikilǝrgǝ ayan boldi wǝ biz uni inkar ⱪilixⱪa amalsizmiz.
2c041100bc	Lekin bu ixning hǝlⱪ iqidǝ tehimu kǝng yeyilip kǝtmǝsliki üqün, ularƣa bundin keyin bu adǝmning namida ⱨeqkimgǝ ⱨeqnemǝ demǝslikkǝ agaⱨ-tǝⱨdit salayli! — deyixti.
2c04120081	Xuning bilǝn ularni qaⱪirtip, bundin keyin Əysaning namida ⱨeq sɵzlimǝslik yaki tǝlim bǝrmǝslikni ⱪǝt’iy buyrudi.
2c0413008d	Lekin Petrus bilǝn Yuⱨanna: — Hudaning aldida silǝrgǝ itaǝt ⱪilix toƣrimu yaki Hudaƣimu, buningƣa ɵzünglar bir nemǝ dǝnglar!
2c0414005e	Əmma biz bolsaⱪ, kɵrgǝn wǝ angliƣanlirimizni eytmay turalmaymiz! — dǝp jawab bǝrdi.
2c041500d3	[Ⱨɵkümranlar] bolsa halayiⱪtin ⱪorⱪup, ularni jazalaxⱪa layiⱪ sǝwǝb tapalmay, ularƣa tehimu tǝⱨdit selip, ⱪoyup bǝrdi. Qünki halayiⱪ bolƣan wǝⱪǝ tüpǝylidin Hudani uluƣliƣanidi.
2c0416005e	Qünki bu saⱪaytilix mɵjizilik alamiti kɵrsitilgǝn kixining yexi ⱪiriⱪtin axⱪanidi.
2c041700af	Ular ⱪoyup berilgǝndin keyin, ɵz ⱨǝmraⱨlirining yeniƣa ⱪaytip kelip, bax kaⱨinlar wǝ aⱪsaⱪallarning ⱪilƣan sɵzlirini baxtin-ahir kɵpqilikkǝ uⱪturdi.
2c041800d1	Ular buni angliƣanda, awazini bir niyǝt bir dil bilǝn Hudaƣa kɵtürüp mundaⱪ nida ⱪildi: — I Igimiz, Sǝn asman-zemin, dengiz-okyanlarni wǝ ulardiki barliⱪ mǝwjudatlarni yaratⱪan Hudadursǝn.
2c041900b9	Sǝn Muⱪǝddǝs Roⱨ bilǝn hizmǝtkaring bolƣan Dawutning aƣzi arⱪiliⱪ mundaⱪ degǝnƣu: «Əllǝr nemixⱪa quⱪan salidu? Nemǝ üqün bikardin-bikar suyiⱪǝst oylaydu?
2c041a0084	Dunyadiki padixaⱨlar sǝp tartip, Əmǝldarlar yiƣilixip, Pǝrwǝrdigar wǝ Uning Mǝsiⱨi bilǝn ⱪarxilixⱪa jǝm boluxti».
2c041b00d6	— Qünki dǝrwǝⱪǝ dǝl bu xǝⱨǝrdǝ Ⱨerod ⱨǝm Pontius Pilatus, yat ǝlliklǝr ⱨǝm Israil hǝlⱪliri birlixip, Sǝn mǝsiⱨligǝn muⱪǝddǝs hizmǝtkaring Əysaƣa ⱪarxi qiⱪip toplanƣanidi,
2c041c008a	xuning bilǝn küq-ⱪudriting wǝ iradǝng boyiqǝ Sǝn burunla nemining ǝmǝlgǝ axuruluxini bekitkǝn bolsang, ular xularni ⱪilƣan.
2c041d00aa	Əmdi i Pǝrwǝrdigar, ularning seliwatⱪan tǝⱨditlirini kɵrgǝysǝn, ⱪulliringni sɵz-kalamingni toluⱪ yürǝklik bilǝn sɵzlǝp yǝtküzidiƣan ⱪilƣaysǝn;
2c041e0094	kesǝllǝrni saⱪaytixⱪa ⱪolungni uzitip, muⱪǝddǝs hizmǝtkaring Əysaning namida mɵjizilik alamǝtlǝr wǝ karamǝtlǝrni yaratⱪaysǝn.
2c041f00b9	Ularning duasi ayaƣlaxⱪanda, ular turƣan yǝr tǝwrinip kǝtti. Ular ⱨǝmmisi Muⱪǝddǝs Roⱨⱪa toldurulup, Hudaning sɵz-kalamini yürǝklik sɵzlǝp yǝtküzüxkǝ baxlidi.
