25	66	1189	563
File Name	Holy-Bible---English---STEPBible-Concordant---Standard-Edition.noia
11	beloved not to imitate the/this/who evil/harm: evil but the/this/who good the/this/who to do good out from the/this/who God to be the/this/who (then *k*) to do evil/harm no to see: see the/this/who God
12	Demetrius to testify by/under: by all and by/under: by it/s/he the/this/who truth and me then to testify and (to know *N(k)O*) that/since: that the/this/who testimony me true to be
13	much to have/be (to write *N(k)O*) (you *no*) but no to will/desire through/because of ink and reed/stick/pen you (to write *N(k)O*)
14	to hope/expect then immediately you to perceive: see and mouth to/with mouth to speak peace you to pay respects to you the/this/who friendly/friend to pay respects to the/this/who friendly/friend according to name
65	Jude	1
1	25
1	Jude Jesus Christ slave brother then James the/this/who in/on/among God father (to love *N(K)O*) and Jesus Christ to keep: protect called
2	mercy you and peace and love to multiply
3	beloved all diligence to do/make: do to write you about the/this/who common: shared (me *NO*) salvation necessity to have/be to write you to plead/comfort to contend the/this/who once to deliver the/this/who holy: saint faith
4	to infiltrate for one a human the/this/who of old to write/designate toward this/he/she/it the/this/who judgment ungodly the/this/who the/this/who God me grace to transport toward debauchery and the/this/who alone master (God *K*) and lord: God me Jesus Christ to deny
5	to remind then you to plan to know you (all *N(K)O*) that/since: that (the/this/who *NK*) (lord: God *NK(O)*) once a people out from earth: country Egypt to save the/this/who secondly the/this/who not to trust (in) to destroy
6	angel and/both the/this/who not to keep: observe the/this/who themself beginning but to leave the/this/who one's own/private dwelling toward judgment great day chain eternal by/under: under darkness to keep: guard
7	as/when Sodom and Gomorrah and the/this/who about it/s/he city the/this/who like way this/he/she/it to fornicate and to go away after flesh other to set before example fire eternal condemnation to undergo
8	similarly yet and this/he/she/it to dream flesh on the other hand to stain lordship then to reject glory then to blaspheme
9	the/this/who then Michael the/this/who archangel when the/this/who devilish/the Devil to judge/doubt to dispute about the/this/who Moses body no be bold judgment to inflict blasphemy but to say to rebuke you lord: God
10	this/he/she/it then just as/how much on the other hand no to know to blaspheme just as/how much then physically as/when the/this/who unreasonable living thing to know/understand in/on/among this/he/she/it to destroy
11	woe! it/s/he that/since: since the/this/who road the/this/who Cain to travel and the/this/who error the/this/who Balaam wage to pour out and the/this/who dispute the/this/who Korah to destroy
12	this/he/she/it to be (the/this/who *no*) in/on/among the/this/who love you reef to feast with fearlessly themself to shepherd cloud waterless by/under: by wind (to take away *N(k)O*) tree autumnal unfruitful twice to die to uproot
13	a wave wild sea to foam up the/this/who themself shame star wandering which the/this/who darkness the/this/who darkness toward (the/this/who *k*) an age: eternity to keep: guard
14	to prophesy then and this/he/she/it seventh away from Adam Enoch to say look! to come/go lord: God in/on/among holy: saint myriad it/s/he
15	to do/make: do judgment according to all and (to rebuke *N(K)O*) (all *N(k)O*) (the/this/who *ko*) (soul *N(K)O*) (it/s/he *K*) about all the/this/who work ungodlinessness it/s/he which be ungodly and about all the/this/who hard which to speak according to it/s/he sinful ungodly
16	this/he/she/it to be a murmurer malcontent according to the/this/who desire (themself *N(k)O*) to travel and the/this/who mouth it/s/he to speak boastful to marvel face advantage because of
17	you then beloved to remember the/this/who declaration the/this/who to predict by/under: by the/this/who apostle the/this/who lord: God me Jesus Christ
18	that/since: since to say you that/since: that (upon/to/against last/least *N(k)O*) (the/this/who *n*) (time *N(k)O*) to be a mocker according to the/this/who themself desire to travel the/this/who ungodlinessness
19	this/he/she/it to be the/this/who to divide natural spirit/breath: spirit not to have/be
20	you then beloved to build up/upon themself the/this/who holy you faith in/on/among spirit/breath: spirit holy to pray
21	themself in/on/among love God to keep: observe to wait for/welcome the/this/who mercy the/this/who lord: God me Jesus Christ toward life eternal
22	and which on the other hand (to have mercy *NK(O)*) (to judge/doubt *N(k)O*)
23	which then to save out from (the/this/who *k*) fire to seize (which then to have mercy *NO*) in/on/among fear to hate and the/this/who away from the/this/who flesh to stain tunic
24	the/this/who then be able to keep/guard: protect (you *NK(O)*) without falling and to stand before the/this/who glory it/s/he blameless in/on/among joy
25	alone (wise *K*) God savior me (through/because of Jesus Christ the/this/who lord: God me *NO*) glory (and *k*) majesty power and authority (before all the/this/who an age: eternity *NO*) and now and toward all the/this/who an age: eternity amen
66	Revelation	22
1	20
1	revelation Jesus Christ which to give it/s/he the/this/who God to show the/this/who slave it/s/he which be necessary to be in/on/among speed and to signify to send through/because of the/this/who angel it/s/he the/this/who slave it/s/he John
2	which to testify the/this/who word the/this/who God and the/this/who testimony Jesus Christ just as/how much (and/both *k*) to perceive: see
3	blessed the/this/who to read and the/this/who to hear the/this/who word the/this/who prophecy and to keep: observe the/this/who in/on/among it/s/he to write the/this/who for time/right time near
4	John the/this/who seven assembly the/this/who in/on/among the/this/who Asia grace you and peace away from (the/this/who *K(O)*) the/this/who to be and the/this/who to be and the/this/who to come/go and away from the/this/who seven spirit/breath: spirit which (to be *k*) before the/this/who throne it/s/he
5	and away from Jesus Christ the/this/who witness the/this/who faithful the/this/who firstborn (out from *k*) the/this/who dead and the/this/who ruler the/this/who king the/this/who earth: planet the/this/who (to love *N(k)O*) me and (to loose *N(K)O*) me (out from *N(k)O*) the/this/who sin me in/on/among the/this/who blood it/s/he
6	and to do/make: do me (kingdom *N(K)O*) (and *K*) priest the/this/who God and father it/s/he it/s/he the/this/who glory and the/this/who power toward the/this/who an age: eternity the/this/who an age: eternity amen
7	look! to come/go with/after the/this/who cloud and to appear it/s/he all eye and who/which it/s/he to pierce and to cut/mourn upon/to/against it/s/he all the/this/who tribe the/this/who earth: planet yes amen
8	I/we to be the/this/who Alpha and the/this/who Omega (beginning and goal/tax *K*) to say (the/this/who *k*) lord: God (the/this/who God *NO*) the/this/who to be and the/this/who to be and the/this/who to come/go the/this/who almighty
9	I/we John the/this/who (and *k*) brother you and (sharer *NK(o)*) in/on/among the/this/who pressure and (in/on/among the/this/who *k*) kingdom and perseverance (in/on/among *no*) Jesus (Christ *K*) to be in/on/among the/this/who island the/this/who to call: call Patmos through/because of the/this/who word the/this/who God and (through/because of *k*) the/this/who testimony Jesus (Christ *K*)
10	to be in/on/among spirit/breath: spirit in/on/among the/this/who the Lord’s day and to hear after me voice/sound: noise great as/when trumpet
11	to say (I/we *KO*) (to be the/this/who Alpha and the/this/who Omega the/this/who first and the/this/who last/least and *K*) which to see to write toward scroll and to send the/this/who seven assembly (the/this/who in/on/among Asia *K*) toward Ephesus and toward Smyrna and toward Pergamum and toward Thyatira and toward Sardis and toward Philadelphia and toward Laodicea
12	and (there *O*) to turn to see the/this/who voice/sound: voice who/which (to speak *N(k)O*) with/after I/we and to turn to perceive: see seven lampstand golden
